hour,day_of_week,solar_irradiance,cloud_cover,wind_speed,temperature,humidity,num_ev_charging,solar_output_kWh,wind_output_kWh,base_load_kWh,ev_energy_consumption_kWh,total_supply_kWh,total_demand_kWh
6,1,888.7524837502724,18.059620790472366,8.179765094239695,28.116886575281377,69.18838352931886,4,390.2663677153302,429.4001509498554,578.6718898396626,23.649294699068513,819.6665186651855,602.3211845387311
19,1,692.5140127611929,3.8433392801363597,3.671017158524708,21.585074720159618,39.25609322358929,61,324.2146708688796,32.406303622504936,605.4896059302258,635.7781923797764,356.6209744913845,1241.2677983100023
14,1,243.5283388995363,27.505444768050037,13.366750116800642,24.36584674007166,42.91522168329435,64,83.7328487747629,2051.4450830014766,568.6730941582698,535.0798467460755,2135.1779317762393,1103.7529409043455
10,3,931.6592497590191,83.48619180663957,1.6482295460280154,38.33604574399766,46.91005129961186,70,77.16716326670145,2.771024155829276,734.2131626309724,390.6728026966676,79.93818742253073,1124.88596532764
7,2,104.83574720599131,29.389008319931676,0.5920134461150295,23.80186932364117,25.254990480510184,66,34.212153979365915,0.15553332529693323,600.9145483438423,765.356402430828,34.36768730466285,1366.2709507746704
20,1,267.9427501068479,5.690148049762156,9.040594041092962,24.133648254458173,71.74238991000996,79,96.48791828785002,467.83068930167576,648.8943947305395,915.1980792650328,564.3186075895258,1564.0924739955722
6,6,520.1946077238856,5.24921839530299,1.851107520982147,20.23489564362478,32.378380846384395,79,203.9784831300474,3.8143432893568465,473.65919442053064,547.9753936169775,207.79282641940426,1021.6345880375081
18,1,565.7420260709014,42.74228023694364,7.573362214184416,39.000460450646386,76.3584017374497,43,149.5229700835676,427.523159941683,680.0526845573492,194.0170695447586,577.0461300252506,874.0697541021077
22,5,15.310586626905431,93.18257230616197,14.276599266144489,26.412183916507082,79.21107008438534,13,0.36911853179893434,2905.367257782263,628.3089801428406,117.60200759316976,2905.736376314062,745.9109877360104
10,0,780.5727258209399,28.592044163963195,10.478704071791851,29.259803351419073,64.69039241992249,56,243.84193131075077,946.0211000772729,586.8791800578667,366.11757709339213,1189.8630313880237,952.9967571512589
10,5,361.6073184253895,42.715768070104374,9.261848705966406,26.32920230753499,73.88984603792392,47,103.81239377702691,552.6390820910816,557.0253276184934,212.9495781360185,656.4514758681086,769.9749057545118
23,5,406.41854100213783,10.193380538260854,8.62207837308421,21.322976919096604,32.028461668023034,16,139.7355419691117,618.1742910737643,600.1403743369015,178.15122105197645,757.909833042876,778.2915953888779
20,0,809.3695444369457,49.35727932689811,2.6930887829938914,35.26031532852467,60.315728786944575,43,148.7527369116312,18.930931240848256,666.1212375566354,515.3520122224967,167.68366815247944,1181.473249779132
3,6,379.28339172754454,69.6547064285704,6.489717369421565,15.711780646920529,67.37595201122919,3,59.52762826154427,257.4172678286174,599.0005858897654,20.409732329046765,316.9448960901617,619.4103182188121
7,2,47.22487649475482,27.115036117721957,5.1378526105014375,32.25608575229234,66.30924065979946,29,16.2962348006463,110.90839280112476,630.3123023424055,288.78113310513334,127.20462760177107,919.0934354475388
23,5,176.4397704703503,29.671130852868476,14.29611483333094,29.85682026498381,28.210291435022654,74,47.813103027321844,1840.401161606491,652.5509385955081,334.93630902985086,1888.214264633813,987.487247625359
2,2,955.9031723881824,84.19750254062713,3.634803470560875,18.60701626721873,44.10677237360267,54,77.22933476453667,30.512185440042664,534.8524707282397,375.71274988976046,107.74152020457933,910.5652206180002
21,5,70.40536240251416,1.0363722347177085,7.072745570940771,19.147626107517237,42.75262650376356,29,33.55762169647471,339.1745350472455,496.47064281609653,141.23040972351666,372.7321567437202,637.7010525396132
20,4,354.93120096801624,63.6470708550097,14.071190449143751,31.480639697521735,60.07688108178358,17,53.7819015411375,2647.6910070624544,696.2084603251361,75.52759145423825,2701.472908603592,771.7360517793744
1,0,503.17916705134456,39.3884634941617,11.837709786589725,22.80346979158179,73.56659902074273,72,129.69143433503365,1283.537977166397,572.5972723667611,627.1436393334695,1413.2294115014306,1199.7409117002308
23,5,493.2808273385601,29.8380513561469,14.467728589266345,21.64345195414198,59.941325631914964,43,131.92384077063926,2214.4912788133142,575.0723193952814,447.89865970799184,2346.4151195839536,1022.9709791032733
11,4,3.9599430121427526,65.75938322438772,9.124953827204866,16.478902388431983,72.8379207056158,61,0.7010742196457288,651.6312448264766,532.6368503377206,465.0494825571596,652.3323190461224,997.6863328948803
